What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,birth_day,birth_month,birth_year,Give a random number,bedtime,good_day_1,good_day_2
Artificial Intelligence   ,yes,0,mu,nee,male,neither,31,12,1993,8,02:00,friendly encounters,good coffee
Bioinformatics,yes,0,mu,nee,female,neither,11,2,1996,2,04:40,morning tea,getting my salary
Bioinformatics,yes,0,mu,nee,male,fat,20,3,1995,10,00:20,good dinner,seeing friends
Artificial Intelligence,yes,1,mu,nee,female,fat,19,5,NA,22,02:00,seeing friends,beer
Artificial Intelligence,no,0,mu,unknown,female,I have no idea what you are talking about,NA,NA,NA,8,06:00,things to do,nothing
Operations Research,no,0,mu,nee,male,neither,10,12,1995,123581321,23:45,sports,good dinner
Econometrics and operations research,yes,1,mu,nee,male,fat,23,1,1994,1987,00:35,achievement,relax
Business Analytics,no,0,mu,nee,female,neither,18,2,1993,4,23:30,food,seeing friends
Mathematics,yes,0,mu,nee,male,neither,17,6,NA,10,01:30,productive,good dinner
Business Analytics,yes,1,mu,ja,male,neither,2,9,1996,1,00:00,sleep well,fox news
Bioinformatics,no,0,sigma,nee,female,neither,24,4,1995,10,00:00,sunshine,seeing friends
Computer Science,no,0,mu,ja,male,I have no idea what you are talking about,29,3,NA,7,03:00,food,playing football
Econometrics,no,0,sigma,nee,male,fat,23,6,1994,4,23:30,succeed in dayly goal,things to do
Artificial Intelligence,yes,0,mu,nee,male,I have no idea what you are talking about,25,1,1990,1,23:00,good coffee,sunshine
Business Analytics,yes,1,mu,ja,unknown,neither,6,9,1994,6,23:30,no homework,sex
Artificial Intelligence,no,0,mu,nee,female,I have no idea what you are talking about,16,1,1995,7,03:00,seeing friends,good weather
Business Analytics,yes,0,mu,ja,female,fat,13,6,1994,7,23:00,beer,free time
Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,24,4,NA,9,01:15,sports,drinks
Bioinformatics,no,0,mu,ja,male,fat,14,12,1995,8,00:00,well rested and structured,food
Quantitative Risk Management,no,0,mu,nee,male,neither,24,5,1993,1,01:30,mac donalds,mac donalds
Computational Science,yes,0,mu,ja,female,fat,12,7,1990,2,01:15,dance,productive
Business Analytics ,yes,1,mu,ja,male,I have no idea what you are talking about,18,1,1997,7,00:30,sunshine,food
NA,unknown,0,mu,nee,male,neither,5,2,1988,3,23:58,productive,a day with company
Bioinformatics,no,0,sigma,nee,male,fat,6,11,1992,537,02:30,food,chocolate
Artificial Intelligence,no,0,mu,nee,male,neither,7,3,1995,6,23:45,fun,food
Artificial Intelligence,yes,1,mu,ja,male,I have no idea what you are talking about,31,7,1992,1,02:00,sleeping in,staying up late
Business Analytics,yes,0,mu,ja,male,fat,1,10,1768,"rnorm(n = 1, mu = 12, sigma = 1)",22:00,sleep,free time
Quantitative Risk Management,unknown,0,mu,nee,male,neither,NA,NA,1994,3,23:00,good weather,free time
Computer Science,no,0,mu,ja,female,I have no idea what you are talking about,12,10,1991,3,03:00,food,no stress
Artificial Intelligence,yes,1,mu,ja,male,fat,2,7,1993,7,01:34,good coffee,sunshine
